No.,Client,Project,QT No.,Preriod,Project Type,P&L Type,BD,Revenue 2023,Total Cost 2023, Revenue Total Project,Cost Total Project,progress,Amount Margin,(%) 
37, Trading (Thailand) Ltd.,Graphic-Operation Cost (Oral-B) on Jan 2023,QT22060039.7,1-31 Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,10288.00,17010.00,10288.00,100.00,6722.00,39.52
38, Trading (Thailand) Ltd.,Graphic-Operation Cost (Oral-B) on Feb 2023,QT22060039.8,1 -28 Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,12150.00,17010.00,12150.00,100.00,4860.00,28.57
39, Trading (Thailand) Ltd.,Graphic-Operation Cost (Oral-B) on Mar 2023,QT22060039.9,1-31 Mar 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,12280.00,17010.00,12280.00,100.00,4730.00,27.81
40, Trading (Thailand) Ltd.,Graphic-Operation Cost (Gillette) on Apr 2023,QT22060040.10,1-30 April 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,10224.00,17010.00,10224.00,100.00,6786.00,39.89
41, Trading (Thailand) Ltd.,Graphic-Operation Cost (Gillette) on May 2023 (QT22060040.11),QT22060040.11,1-31 May 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,10460.00,17010.00,10460.00,100.00,6550.00,38.51
42, Trading (Thailand) Ltd.,Graphic-Operation Cost (Gillette) on Jun 2023,QT22060040.12,1-30 June 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,12432.34,17010.00,12432.34,100.00,4577.66,26.91
43, Trading (Thailand) Ltd.,Graphic-Operation Cost (Gillette) on Jan 2023,QT22060040.7,1-31 Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,9864.00,17010.00,9864.00,100.00,7146.00,42.01
44, Trading (Thailand) Ltd.,Graphic-Operation Cost (Gillette) on Feb 2023,QT22060040.8,1 -28 Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,12650.00,17010.00,12650.00,100.00,4360.00,25.63
45, Trading (Thailand) Ltd.,Graphic-Operation Cost (Gillette) on Mar 2023,QT22060040.9,1-31 Mar 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,10460.00,17010.00,10460.00,100.00,6550.00,38.51
46, Trading (Thailand) Ltd.,Graphic-Operation Cost (Hair Care) on Apr 2023,QT22060041.10,1-30 April 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,12780.00,20979.00,12780.00,100.00,8199.00,39.08
47, Trading (Thailand) Ltd.,Graphic-Operation Cost (Hair Care) on May 2023 (QT22060041.11),QT22060041.11,1-31 May 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,12960.65,20979.00,12960.65,100.00,8018.35,38.22
48, Trading (Thailand) Ltd.,Graphic-Operation Cost (Hair Care) on Jun 2023,QT22060041.12,1-30 June 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,14013.34,20979.00,14013.34,100.00,6965.66,33.2
49, Trading (Thailand) Ltd.,Graphic-Operation Cost (Hair Care) on Jan 2023,QT22060041.7,1-31 Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,13152.00,20979.00,13152.00,100.00,7827.00,37.31
50, Trading (Thailand) Ltd.,Graphic-Operation Cost (Hair Care) on Feb 2023,QT22060041.8,1 -28 Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,10350.00,20979.00,10350.00,100.00,10629.00,50.66
51, Trading (Thailand) Ltd.,Graphic-Operation Cost (Hair Care) on Mar 2023,QT22060041.9,1-31 Mar 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,12552.00,20979.00,12552.00,100.00,8427.00,40.17
52, Trading (Thailand) Ltd.,Neurobion Warehouse Rental on Apr 23,QT22060047.10,1-30 April 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,3240.00,987.27,3240.00,987.27,100.00,2252.73,69.53
53, Trading (Thailand) Ltd.,Neurobion Warehouse Rental on May 23 (QT22060047.11),QT22060047.11,1-31 May 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,3240.00,1020.19,3240.00,1020.19,100.00,2219.81,68.51
