No.,Client,Project,QT No.,Preriod,Project Type,P&L Type,BD,Revenue 2023,Total Cost 2023, Revenue Total Project,Cost Total Project,progress,Amount Margin,(%) 
1186,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,PG Cheer Sensodyne on 1-31 August 2023,QT23050096.3,1-31 Aug 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,297701.80,215928.32,297701.80,215928.32,100.00,81773.48,27.47
1187,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,PG Cheer Sensodyne Commision on 1-31 August 2023,QT23050096.4,1-31 Aug 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,21450.00,19500.00,21450.00,19500.00,100.00,1950.00,9.09
1188,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,PG Cheer Sensodyne on 1-30 September 2023,QT23050096.5,1-30 Sep 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,293072.58,200903.70,293072.58,200903.70,100.00,92168.88,31.45
1189,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,PG Cheer Sensodyne Commision on 1-30 Semtember 2023,QT23050096.6,1-30 Sep 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,22000.00,20000.00,22000.00,20000.00,100.00,2000.00,9.09
1190,บริษัท น้ำตาล จำกัด,Mitr Phol Merchandiser share at TT July 23,QT23050097.1,1-31 July 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,81862.00,66727.94,81862.00,66727.94,100.00,15134.06,18.49
1191,บริษัท น้ำตาล จำกัด,Mitr Phol Merchandiser share at TT (Aug 2023),QT23050097.2,1-31 Aug 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,82456.00,66897.62,82456.00,66897.62,100.00,15558.38,18.87
1192,บริษัท น้ำตาล จำกัด,Mitr Phol Merchandiser share at TT (Sep 2023),QT23050097.3,1-30 Sep 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,79288.00,60398.79,79288.00,60398.79,100.00,18889.21,23.82
1193,บริษัท น้ำตาล จำกัด,Mitr Phol Merchandiser share at Makro on July 23,QT23050098.1,1-31 July 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,214049.00,151596.68,214049.00,151596.68,100.00,62452.32,29.18
1194,บริษัท น้ำตาล จำกัด,Mitr Phol Merchandiser share at Makro (Aug 2023),QT23050098.2,1-31 Aug 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,219593.00,180864.29,219593.00,180864.29,100.00,38728.71,17.64
1195,บริษัท น้ำตาล จำกัด,Mitr Phol Merchandiser share at Makro (Sep 2023),QT23050098.3,1-30 Sep 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,223553.00,189401.14,223553.00,189401.14,100.00,34151.86,15.28
1196,"BD (Thailand) Co.,Ltd",Eucerin Training Boots_May,QT23050099,31-05-23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,4950.00,4293.31,4950.00,4293.31,100.00,656.69,13.27
1197,บริษัท ดาดา (ประเทศไทย) จำกัด,Danone HN Logistics - Transportation for Delivery Material and Equipment (มหาวิทยาลัยธรรมศาสตร์),QT23050100,31-05-23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1A,2160.00,2090.95,2160.00,2090.95,100.00,69.05,3.2
1198,บริษัท ยาสีฟัน (ประเทศไทย) จำกัด,Additional PG Store Tourist Darlie Big C Rajdamri (1 - 30 Jun 2023),QT23050101,1-30 June 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,28000.00,23710.00,28000.00,23710.00,100.00,4290.00,15.32
1199,บริษัท ยาสีฟัน (ประเทศไทย) จำกัด,Additional Commission PG Store Tourist Darlie Big C Rajdamri (1 - 30 Jun 2023),QT23050102,1-30 June 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,5600.00,4038.45,5600.00,4038.45,100.00,1561.55,27.88
1200,"One Co.,Ltd",Ivy Caravan 2023_Venue Fee on June 23,QT23050103.1,1-30 June 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,245728.00,81991.50,245728.00,81991.50,100.00,163736.50,66.63
1201,"One Co.,Ltd",Ivy Caravan 2023_Venue Fee on July 23,QT23050103.2,1-31 July 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,91056.00,42348.61,91056.00,42348.61,100.00,48707.39,53.49
1202,บริษัท อาหาร จำกัด,Food Star Thaifex 2023 -Photographer (QT23050104),QT23050104,23-27 May 2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,6900.00,4500.00,6900.00,4500.00,100.00,2400.00,34.78
1203,บริษัท เซอร์วิสเซส จำกัด,Agoda_Snaxbox@ 31 May 2023 (QT23050105),QT23050105,31-05-23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,11074.00,7602.88,11074.00,7602.88,100.00,3471.12,31.34
1204,BJ Public Company Limited,PC Cheer จัดชิมและเชียร์สินค้า Tasco @ Makro 7 Stores (16 Jun - 2 Jul 23),QT23050106,16 June - 2 July 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,85624.00,62358.47,85624.00,62358.47,100.00,23265.53,27.17
1205,บริษัท อาหาร จำกัด,Food Star Thaifex 2023 -ค่าไฟบูธเพิ่มเติม (QT23050107),QT23050107,23-พ.ค.-23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,7417.50,6010.00,7417.50,6010.00,100.00,1407.50,18.98
1206,บริษัท ดาดา (ประเทศไทย) จำกัด,Danone backdrop light box,QT23050108,30-มิ.ย.-23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,92900.00,78661.40,92900.00,78661.40,100.00,14238.60,15.33
1207,GAD (Thailand) Ltd. ,Cetaphil Booth Exhibition at Boots 3 Store on Jun-July 23,QT23050109,23 June - 2 July 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,231056.00,102595.35,231056.00,102595.35,100.00,128460.65,55.6
1208,FC (Thailand) PCL.,Foremost Booth 7-11 (CP Tower),QT23050110,30-05-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,25190.00,18217.66,25190.00,18217.66,100.00,6972.34,27.68
1209,FC (Thailand) PCL.,Foremost Booth at Tops ,QT23050111,3-4 June 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,27170.00,14897.09,27170.00,14897.09,100.00,12272.91,45.17
1210,บริษัท ดาดา (ประเทศไทย) จำกัด,Danone backdrop light box (Blue house),QT23050113,1-30 June 23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,109900.00,70956.48,109900.00,70956.48,100.00,38943.52,35.44
1211,"TAF Co.,Ltd.",DOLE CVS SHARE SERVICE JUN  2023,QT23050114.1,1-30 June 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,91644.00,49136.95,91644.00,49136.95,100.00,42507.05,46.38
1212,"TAF Co.,Ltd.",DOLE CVS SHARE SERVICE JULY 2023,QT23050114.2,1-31 July 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,91644.00,44201.66,91644.00,44201.66,100.00,47442.34,51.77
1213,"BD (Thailand) Co.,Ltd",Eucerin SAFE Reproduction Healteh 2023,QT23050115,31-05-23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,33550.00,30000.00,33550.00,30000.00,100.00,3550.00,10.58
1214,"BD (Thailand) Co.,Ltd",Eucerin สมาคมร้านขายยา@ชลบุรี [May 2023],QT23050116,23-05-23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,25540.81,22518.92,25540.81,22518.92,100.00,3021.89,11.83
1215,"BD (Thailand) Co.,Ltd",Eucerin Pharmacist Watsons_Speaker,QT23050117,30-06-23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,36660.62,32687.84,36660.62,32687.84,100.00,3972.78,10.84
1216,บริษัท ส. จำกัด (มหาชน),S.Khonkean PG CHEER @MAKRO 5 STORES JUL 23,QT23050123.1,26 -30 July 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,16118.08,9643.24,16118.08,9643.24,100.00,6474.84,40.17
1217,บริษัท ส. จำกัด (มหาชน),S.Khonkean PG CHEER @MAKRO 5 STORES AUG 23,QT23050123.2,31 July - 31 Aug 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,46520.32,28821.92,46520.32,28821.92,100.00,17698.40,38.04
1218,บริษัท ส. จำกัด (มหาชน),S.Khonkean PG CHEER @MAKRO 5 STORES SEP 23,QT23050123.3,1-6 Sep 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,10380.00,5664.13,10380.00,5664.13,100.00,4715.87,45.43
1219,TW Public Company Limited,Thai Wah Premium พันแถม น้ำมันปาล์มขนาด 230ml,QT23050124,31 May - 30 June 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,29945.20,26672.91,29945.20,26672.91,100.00,3272.29,10.93
1220,BJ Public Company Limited,Bjc maxmo roll up ,QT23050125,on June 23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,3575.00,2265.63,3575.00,2265.63,100.00,1309.37,36.63
1221,"BD (Thailand) Co.,Ltd",Eucerin Heathcare Campaign 2023,QT23050126,29-06-23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,480491.77,376374.18,480491.77,376374.18,100.00,104117.59,21.67
1222,บริษัท ผลิตภัณฑ์อาหาร จำกัด (มหาชน)  ,Pumpui Commando Korat,QT23050127,31 - 2 June 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,53748.13,33816.70,53748.13,33816.70,100.00,19931.43,37.08
1223,บริษัท ผลิตภัณฑ์อาหาร จำกัด (มหาชน)  ,Pumpui (Operation)_Add Cost Staff on Jun 23,QT23050129,24-มิ.ย.-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,14375.00,9902.87,14375.00,9902.87,100.00,4472.13,31.11
1224,บริษัท ครีม (ประเทศไทย) จำกัด,LRP-Logistic at Bangkok City 29 May 2023 (QT23050130),QT23050130,26-พ.ค.-23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,2203.20,1600.00,2203.20,1600.00,100.00,603.20,27.38
1225,"BS (Thailand) Co., Ltd.",Cockpit FC Activity Support 10 Stores (Jun - July 2023),QT23050131,30 June - 3 July 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,175932.00,153562.90,175932.00,153562.90,100.00,22369.10,12.71
1226,บริษัท ไทยคอร์ปอเรชั่น จำกัด,Coke LCC Activity (UPC)- 7 Stores,QT23050132,30 June - 31 July 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,111870.00,76148.00,111870.00,76148.00,100.00,35722.00,31.93
1227,บริษัท บิวตี้จำกัด,Eucerin Spotless Brightening Event at Beautrium [Jun 2023],QT23050133,15 Jun -9 July  2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,75240.00,50278.06,75240.00,50278.06,100.00,24961.94,33.18
1228,บริษัท อีฟอีฟ จำกัด,Eucerin Spotless Brightening Event at Eveandboy [Jun 2023],QT23050134,29 Jun- 31 July  2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,379500.00,200939.90,379500.00,200939.90,100.00,178560.10,47.05
1229,บริษัท อาร์ บี ซี (ประเทศไทย) จํากัด,Sunpharma Content & Script,QT23050135,30-มิ.ย.-23,1.4 Digital,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,15000.00,10000.00,15000.00,10000.00,100.00,5000.00,33.33
1230,บริษัท ซีซี เทรดดิ้ง (ไทยแลนด์) จำกัด,PC Sino จัดเรียง @ Big C (1-30 June 2023),QT23050136,1-30 Jun 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,43773.13,25182.67,43773.13,25182.67,100.00,18590.46,42.47
1231,บริษัท บี เทรดดิ้ง จำกัด,Singha Soodkhum Activity Nakhonpathom on Jun 23,QT23050137,on june 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,123255.00,88669.46,123255.00,88669.46,100.00,34585.54,28.06
1232,บริษัท เงินเงิน จำกัด (มหาชน),Tidlor NTL @ Q-Chang event (Operation),QT23050142,6-มิ.ย.-23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,8848.00,6965.06,8848.00,6965.06,100.00,1882.94,21.28
1233,BJ Public Company Limited,PC Cheer จัดชิมและเชียร์สินค้า Tasco @ TT 19 Stores (16 Jun - 2 Jul 23),QT23050143,16 June - 2 July 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,238678.00,159687.28,238678.00,159687.28,100.00,78990.72,33.1
1234,"BS (Thailand) Co., Ltd.",Bridgestone - Setup Booth Storefront (Jun),QT23050144.1 ,1-30 June 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,39533.40,24854.00,39533.40,24854.00,100.00,14679.40,37.13
1235,"BS (Thailand) Co., Ltd.",Bridgestone - Setup Booth Storefront (Jul),QT23050144.2,30 June - 31 July 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,15082.20,8053.56,15082.20,8053.56,100.00,7028.64,46.6
1236,บริษัท ไฮเทค จำกัด,Hitec_Propak Asia 2023 ,QT23050145,14- 17 June 2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,680000.00,581872.50,680000.00,581872.50,100.00,98127.50,14.43
1237, Trading (Thailand) Ltd.,Downy FE Gucci Sampling Tester (Jun 23),QT23050146,13-มิ.ย.-23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,7231.97,1096.27,7231.97,1096.27,100.00,6135.70,84.84
1238, Trading (Thailand) Ltd.,Recruit Graphic Olay FY2223 on Jul 23,QT23050149.1,1 - 31 July 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,14472.50,20979.00,14472.50,100.00,6506.50,31.01
1239, Trading (Thailand) Ltd.,Recruit Graphic Olay FY2223 on Aug 23,QT23050149.2,1-31 Aug 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,16527.00,20979.00,16527.00,100.00,4452.00,21.22
1240, Trading (Thailand) Ltd.,Recruit Graphic Olay FY2223 on Sep 23,QT23050149.3,1-30 Sep 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,14672.44,20979.00,14672.44,100.00,6306.56,30.06
1241, Trading (Thailand) Ltd.,Recruit Graphic Olay FY2223 on Oct 23,QT23050149.4,1-31 Oct 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,15420.31,20979.00,15420.31,100.00,5558.69,26.5
1242, Trading (Thailand) Ltd.,Recruit Graphic Olay FY2223 on Nov 23,QT23050149.5,1-30 Nov 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,14560.88,20979.00,14560.88,100.00,6418.12,30.59
1243, Trading (Thailand) Ltd.,Recruit Graphic Olay FY2223 on Dec 23,QT23050149.6,1-31 Dec 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,14595.00,20979.00,14595.00,100.00,6384.00,30.43
1244, Trading (Thailand) Ltd.,Recruit Graphic Oral B FY2223 on Jul 23,QT23050150.1,1 - 31 July 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,13682.50,17010.00,13682.50,100.00,3327.50,19.56
1245, Trading (Thailand) Ltd.,Recruit Graphic Oral B FY2223 on Aug 23,QT23050150.2,1-31 Aug 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,11574.00,17010.00,11574.00,100.00,5436.00,31.96
1246, Trading (Thailand) Ltd.,Recruit Graphic Oral B FY2223 on Sep 23,QT23050150.3,1-30 Sep 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,12860.00,17010.00,12860.00,100.00,4150.00,24.4
1247, Trading (Thailand) Ltd.,Recruit Graphic Oral B FY2223 on Oct 23,QT23050150.4,1-31 Oct 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,12340.10,17010.00,12340.10,100.00,4669.90,27.45
1248, Trading (Thailand) Ltd.,Recruit Graphic Oral B FY2223 on Nov 23,QT23050150.5,1-30 Nov 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,13508.00,17010.00,13508.00,100.00,3502.00,20.59
1249, Trading (Thailand) Ltd.,Recruit Graphic Oral B FY2223 on Dec 23,QT23050150.6,1-31 Dec 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,13500.00,17010.00,13500.00,100.00,3510.00,20.63
1250, Trading (Thailand) Ltd.,Recruit Graphic Gillette FY2223 on Jul 23,QT23050151.1,1 - 31 July 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,11925.00,17010.00,11925.00,100.00,5085.00,29.89
1251, Trading (Thailand) Ltd.,Recruit Graphic Gillette FY2223 on Aug 23,QT23050151.2,1-31 Aug 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,10896.50,17010.00,10896.50,100.00,6113.50,35.94
1252, Trading (Thailand) Ltd.,Recruit Graphic Gillette FY2223 on Sep 23,QT23050151.3,1-30 Sep 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,11719.62,17010.00,11719.62,100.00,5290.38,31.1
1253, Trading (Thailand) Ltd.,Recruit Graphic Gillette FY2223 on Oct 23,QT23050151.4,1-31 Oct 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,10920.31,17010.00,10920.31,100.00,6089.69,35.8
1254, Trading (Thailand) Ltd.,Recruit Graphic Gillette FY2223 on Nov 23,QT23050151.5,1-30 Nov 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,12558.80,17010.00,12558.80,100.00,4451.20,26.17
1255, Trading (Thailand) Ltd.,Recruit Graphic Gillette FY2223 on Dec 23,QT23050151.6,1-31 Dec 23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,12595.00,17010.00,12595.00,100.00,4415.00,25.96
1256, Trading (Thailand) Ltd.,Recruit Graphic Haircare FY2223 on Jul 23,QT23050152.1,1 - 31 July 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,13567.50,20979.00,13567.50,100.00,7411.50,35.33
1257, Trading (Thailand) Ltd.,Recruit Graphic Haircare FY2223 on Aug 23,QT23050152.2,1-31 Aug 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,13517.00,20979.00,13517.00,100.00,7462.00,35.57
1258, Trading (Thailand) Ltd.,Recruit Graphic Haircare FY2223 on Sep 23,QT23050152.3,1-30 Sep 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,13575.23,20979.00,13575.23,100.00,7403.77,35.29
1259, Trading (Thailand) Ltd.,Recruit Graphic Haircare FY2223 on Oct 23,QT23050152.4,1-31 Oct 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,14360.94,20979.00,14360.94,100.00,6618.06,31.55
1260, Trading (Thailand) Ltd.,Recruit Graphic Haircare FY2223 on Nov 23,QT23050152.5,1-30 Nov 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,14659.85,20979.00,14659.85,100.00,6319.15,30.12
1261, Trading (Thailand) Ltd.,Recruit Graphic Haircare FY2223 on Dec 23,QT23050152.6,1-31 Dec 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,14785.00,20979.00,14785.00,100.00,6194.00,29.52
1262,บริษัท ขนมเค้ก จำกัด (มหาชน),ค่าเช่าตู้กระจกและผลิต POSM,QT23060001,July - Sep23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,37840.00,17910.00,37840.00,17910.00,100.00,19930.00,52.67
1263,"BD (Thailand) Co.,Ltd",Eucerin Anti Acne Mark Review,QT23060002,30-06-23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,19923.40,8133.80,19923.40,8133.80,100.00,11789.60,59.17
1264,BJ Public Company Limited,DMP Activity Booth Lotus's @ รามอินทรา,QT23060003,11-12 Aug 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,8690.00,4021.88,8690.00,4021.88,100.00,4668.12,53.72
1265,BJ Public Company Limited,DMP Activity Booth Lotus's @ รามอินทรา ( additional ),QT23060004,31 July - 12 Aug 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17430.00,8265.62,17430.00,8265.62,100.00,9164.38,52.58
1266,BJ Public Company Limited,DMP Activity Booth BigC บางพลี,QT23060005,30 June - 2 July 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,11440.00,8687.32,11440.00,8687.32,100.00,2752.68,24.06
1267,BJ Public Company Limited,DMP Activity Booth BigCบางพลี ( Additional ),QT23060006,02-07-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,1100.00,0.00,1100.00,0.00,100.00,1100.00,100
1268,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,Cockpit Owner - Activity Support Cockpit Hua Hin - Booth 8-14 Jun 2023,QT23060007,14-มิ.ย.-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,30780.00,23820.00,30780.00,23820.00,100.00,6960.00,22.61
1269,บริษัท นมผง จำกัด,Additional Ensure Coffee Sampling,QT23060008,30-มิ.ย.-23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,50666.00,36176.42,50666.00,36176.42,100.00,14489.58,28.6
1270,FC (Thailand) PCL.,Foremost Delivery Mini Booth,QT23060009,30-06-23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1A,2200.00,992.50,2200.00,992.50,100.00,1207.50,54.89
1271,บริษัท ชาช่า (ประเทศไทย)จำกัด,Fashion Day,QT23060010,"30 Jun,10-13 July 23",1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,1715504.00,1304945.60,1715504.00,1304945.60,100.00,410558.40,23.93
1272,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,Cockpit Owner Activity Support Cockpit นวมินทร์,QT23060011,11-มิ.ย.-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,11880.00,9744.00,11880.00,9744.00,100.00,2136.00,17.98
1273,บริษัท อาร์ บี ซี (ประเทศไทย) จํากัด,Sunpharma_Drug store,QT23060014,Jul - Aug 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,290400.00,179743.92,290400.00,179743.92,100.00,110656.08,38.1
1274,บริษัท อาร์ บี ซี (ประเทศไทย) จํากัด,Sunpharma_Office_Building_Activation,QT23060015,30 June - 30 Sep 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,792907.51,474920.05,792907.51,474920.05,100.00,317987.46,40.1
1275,บริษัท อาร์ บี ซี (ประเทศไทย) จํากัด,Sunpharma_Radio_one time charge,QT23060016,31-07-23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,24000.00,14000.00,24000.00,14000.00,100.00,10000.00,41.67
1276,บริษัท อาร์ บี ซี (ประเทศไทย) จํากัด,Sunpharma_Radio Channel,QT23060017,on Oct 23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,902000.00,720600.00,902000.00,720600.00,100.00,181400.00,20.11
1277,บริษัท ผลิตภัณฑ์อาหาร จำกัด (มหาชน)  ,Pumpui (Operation) Add Cost Roadshow on Jun 23,QT23060018,26-มิ.ย.-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,148350.00,81880.55,148350.00,81880.55,100.00,66469.45,44.81
1278,บริษัท ผลิตภัณฑ์อาหาร จำกัด (มหาชน)  ,Pumpui (Operation) Add Cost Roadshow on Aug 23,QT23060019,31-08-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,75900.00,37482.26,75900.00,37482.26,100.00,38417.74,50.62
1279,"TC F&B CO., LTD",KOE Tipco (1 - 20 July 2023),QT23060020.1,1-20 July 23,3.2 Key Account,จัดเรียงสินค้า,BU2A,332840.01,298788.29,332840.01,298788.29,100.00,34051.72,10.23
1280,"TC F&B CO., LTD",Incentive KOE Tipco (1 - 31 July 2023),QT23060020.2,1-31 July 23,3.2 Key Account,จัดเรียงสินค้า,BU2A,77760.00,72000.00,77760.00,72000.00,100.00,5760.00,7.41
1281,"TC F&B CO., LTD",KOE Tipco (21 - 31 July 2023),QT23060020.3,21-31 July 23,3.2 Key Account,จัดเรียงสินค้า,BU2A,150510.76,138662.03,150510.76,138662.03,100.00,11848.73,7.87
1282,"TC F&B CO., LTD",Merchandiser SuperCheap (Phuket) 1 - 31 July 2023,QT23060021,1 - 31 July 2023,2.2 Merchandiser & RO,จัดเรียงสินค้า,BU2A,21948.39,17568.00,21948.39,17568.00,100.00,4380.39,19.96
1283,"TC F&B CO., LTD",PG Cheer Girl TIPCO (1 - 31 July 2023),QT23060022,1 - 31 July 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,209985.10,132771.48,209985.10,132771.48,100.00,77213.62,36.77
1284,"TC F&B CO., LTD",Tipco CVS BKK (1 - 31 July 2023),QT23060023,1-31 July 23,2.2 Merchandiser & RO,จัดเรียงสินค้า,BU2A,448740.00,308387.70,448740.00,308387.70,100.00,140352.30,31.28
1285,"TC F&B CO., LTD",Tipco Mer Share (1 - 31 July 2023),QT23060024,1-31 July 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,824454.72,655877.01,824454.72,655877.01,100.00,168577.71,20.45
1286,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,Cockpit Owner - Activity Support Car Parade - Mae Sot,QT23060025,15-24 June 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,19440.00,16441.50,19440.00,16441.50,100.00,2998.50,15.42
1287,"BS (Thailand) Co., Ltd.",Bridgestone - Set up booth at at Avani Sukhumvit Bangkok (15 Jun),QT23060026,15-มิ.ย.-23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,5940.00,5245.00,5940.00,5245.00,100.00,695.00,11.7
