ลำดับที่,BU,Job,QT, Project Name,Client/Owner,Status,Amount Rev,Start date,End date,Year,month-ended,Quarter,Business unit,monthyear, Value ,Cr.Term range,,,,,,,,,,,
1056,BU 2.1,2.1 PG & BA,QT23060049.2,BA Downy at TT  (Fri-Sun) on Aug 23, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 567,152.47 ",01-08-23,31-08-23,2023,8,Q3,BU2A,Jul," 42,549.00 ",60-150 วัน,,,,,,,,,,,
1057,BU 2.1,2.1 PG & BA,QT23060049.3,BA Downy at TT  (Fri-Sun) on Sep 23, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 706,728.99 ",01-09-23,30-09-23,2023,9,Q3,BU2A,Jun," 73,027.50 ",60-150 วัน,,,,,,,,,,,
1058,BU 2.1,2.1 PG & BA,QT23060049.3,BA Downy at TT  (Fri-Sun) on Sep 23, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 706,728.99 ",01-09-23,30-09-23,2023,9,Q3,BU2A,Jul," 73,027.50 ",60-150 วัน,,,,,,,,,,,
1059,BU 2.1,2.1 PG & BA,QT23060051,Smooth E (Additional Commission Special Display (MAY 23),บริษัท สยาม กรุ๊ป จำกัด ,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 20,844.00 ",01-05-23,31-05-23,2023,5,Q2,BU2B,Jul," 15,158.00 ",30-60 วัน,,,,,,,,,,,
1060,BU 2.1,2.1 PG & BA,QT23060052,Smooth E (Additional Commission for PC MT@ MAY 23),บริษัท สยาม กรุ๊ป จำกัด ,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 13,500.00 ",01-05-23,31-05-23,2023,5,Q2,BU2B,Jun," 22,400.00 ",30-60 วัน,,,,,,,,,,,
1061,BU 1.2,1.2 Event,QT23060053,Eveandboy Lineup at Passione Rayong,บริษัท อีฟอีฟ จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 168,000.00 ",15-06-23,15-06-23,2023,6,Q2,BU1B,Jun," 40,960.00 ",30-60 วัน,,,,,,,,,,,
1062,BU 2.1,2.1 PG & BA,QT23060054,PC จัดรายการซิโน โลตัส พระราม 2,บริษัท ซีซี เทรดดิ้ง (ไทยแลนด์) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 23,540.00 ",12-06-23,30-06-23,2023,6,Q2,BU2A,Jun," 5,175.00 ",30-60 วัน,,,,,,,,,,,
1063,BU 3.2,3.2 Key Account,QT23060055.1,Lactasoy Merchandiser at MT & TT UPC on July 23,บริษัท นมถั่วเหลือง จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 2,000,000.00 ",01-07-23,31-07-23,2023,7,Q3,BU2A,Jul," 37,989.00 ",30-60 วัน,,,,,,,,,,,
1064,BU 3.2,3.2 Key Account,QT23060055.2,Lactasoy Merchandiser at MT & TT UPC on Aug 23,บริษัท นมถั่วเหลือง จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 2,000,000.00 ",01-08-23,31-08-23,2023,8,Q3,BU2A,Aug," 37,989.00 ",30-60 วัน,,,,,,,,,,,
1065,BU 3.2,3.2 Key Account,QT23060055.3,Lactasoy Merchandiser at MT & TT UPC on Sep 23,บริษัท นมถั่วเหลือง จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 2,000,000.00 ",01-09-23,30-09-23,2023,9,Q3,BU2A,Sep," 37,989.00 ",30-60 วัน,,,,,,,,,,,
1066,BU 3.2,3.2 Key Account,QT23060055.4,Lactasoy Merchandiser at MT & TT UPC on Oct 23,บริษัท นมถั่วเหลือง จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 2,000,000.00 ",01-10-23,31-10-23,2023,10,Q4,BU2A,Oct," 2,000,000.00 ",30-60 วัน,,,,,,,,,,,
1067,BU 3.2,3.2 Key Account,QT23060055.5,Lactasoy Merchandiser at MT & TT UPC on Nov 23,บริษัท นมถั่วเหลือง จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 2,000,000.00 ",01-11-23,30-11-23,2023,11,Q4,BU2A,Nov," 2,000,000.00 ",30-60 วัน,,,,,,,,,,,
1068,BU 3.2,3.2 Key Account,QT23060055.6,Lactasoy Merchandiser at MT & TT UPC on Dec 23,บริษัท นมถั่วเหลือง จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 2,000,000.00 ",01-12-23,31-12-23,2023,12,Q4,BU2A,Dec," 2,000,000.00 ",30-60 วัน,,,,,,,,,,,
1069,BU 1.1,1.1 Booth & Roadshow,QT23060058,Vistra elderberry activity at baby kids best buy,บริษัท เอ็น-ดี  จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 208,898.00 ",05-10-23,08-10-23,2023,10,Q4,BU1A,Jun," 3,780.00 ",30-60 วัน,,,,,,,,,,,
1070,BU 1.1,1.1 Booth & Roadshow,QT23060058,Vistra elderberry activity at baby kids best buy,บริษัท เอ็น-ดี  จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 208,898.00 ",05-10-23,08-10-23,2023,10,Q4,BU1A,Oct," 208,898.00 ",30-60 วัน,,,,,,,,,,,
1071,BU 2.4,2.4 Merchandiser CVS share service,QT23060060.1,TCP CVS SHARE (BKK) SERVICE PROGRAM on July 2023,บริษัท เดอเบลล่า จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 111,282.00 ",01-07-23,31-07-23,2023,7,Q3,BU2B,Jun," 19,261.34 ",30-60 วัน,,,,,,,,,,,
1072,BU 2.4,2.4 Merchandiser CVS share service,QT23060060.2,TCP CVS SHARE (BKK) SERVICE PROGRAM on Aug 2023,บริษัท เดอเบลล่า จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 111,282.00 ",01-08-23,31-08-23,2023,8,Q3,BU2B,Jul," 64,960.00 ",30-60 วัน,,,,,,,,,,,
1073,BU 2.4,2.4 Merchandiser CVS share service,QT23060060.3,TCP CVS SHARE (BKK) SERVICE PROGRAM on Sep 2023,บริษัท เดอเบลล่า จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 111,282.00 ",01-09-23,30-09-23,2023,9,Q3,BU2B,Jul," 1,395,306.00 ",30-60 วัน,,,,,,,,,,,
1074,BU 2.4,2.4 Merchandiser CVS share service,QT23060060.4,TCP CVS SHARE (BKK) SERVICE PROGRAM on Oct 2023,บริษัท เดอเบลล่า จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 111,282.00 ",01-10-23,31-10-23,2023,10,Q4,BU2B,Jul," 397,548.00 ",30-60 วัน,,,,,,,,,,,
1075,BU 2.4,2.4 Merchandiser CVS share service,QT23060060.4,TCP CVS SHARE (BKK) SERVICE PROGRAM on Oct 2023,บริษัท เดอเบลล่า จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 111,282.00 ",01-10-23,31-10-23,2023,10,Q4,BU2B,Oct," 111,282.00 ",30-60 วัน,,,,,,,,,,,
1076,BU 2.4,2.4 Merchandiser CVS share service,QT23060060.5,TCP CVS SHARE (BKK) SERVICE PROGRAM on Nov 2023,บริษัท เดอเบลล่า จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 111,282.00 ",01-11-23,30-11-23,2023,11,Q4,BU2B,Aug," 397,548.00 ",30-60 วัน,,,,,,,,,,,
1077,BU 2.4,2.4 Merchandiser CVS share service,QT23060060.5,TCP CVS SHARE (BKK) SERVICE PROGRAM on Nov 2023,บริษัท เดอเบลล่า จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 111,282.00 ",01-11-23,30-11-23,2023,11,Q4,BU2B,Nov," 111,282.00 ",30-60 วัน,,,,,,,,,,,
1078,BU 2.4,2.4 Merchandiser CVS share service,QT23060060.6,TCP CVS SHARE (BKK) SERVICE PROGRAM on Dec 2023,บริษัท เดอเบลล่า จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 111,282.00 ",01-12-23,31-12-23,2023,12,Q4,BU2B,Sep," 397,548.00 ",30-60 วัน,,,,,,,,,,,
1079,BU 2.4,2.4 Merchandiser CVS share service,QT23060060.6,TCP CVS SHARE (BKK) SERVICE PROGRAM on Dec 2023,บริษัท เดอเบลล่า จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 111,282.00 ",01-12-23,31-12-23,2023,12,Q4,BU2B,Dec," 111,282.00 ",30-60 วัน,,,,,,,,,,,
1080,BU 1.2,1.2 Event,QT23060061,Agoda_บุฟเฟ่  3-4  July 2023,บริษัท เซอร์วิสเซส จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 84,072.00 ",03-07-23,04-07-23,2023,7,Q3,BU1B,Jul," 707,711.93 ",30-60 วัน,,,,,,,,,,,
1081,BU 1.1,1.1 Booth & Roadshow,QT23060062,Singha Soodkhum_Leaflet,บริษัท บี เทรดดิ้ง จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 8,910.00 ",16-06-23,30-06-23,2023,6,Q2,BU1A,Aug," 567,152.47 ",30-60 วัน,,,,,,,,,,,
1082,BU 1.1,1.1 Booth & Roadshow,QT23060063,Bear Brand Experiential Sampling (Jul 2023),บริษัท เอ็มเคที อีเว้นท์ จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 163,185.00 ",03-07-23,20-07-23,2023,7,Q3,BU1B,Sep," 706,728.99 ",30-60 วัน,,,,,,,,,,,
1083,BU 1.2,1.2 Event,QT23060066,Eveandboy Lineup at Passione Rayong Additional,บริษัท อีฟอีฟ จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 2,300.00 ",15-06-23,15-06-23,2023,6,Q2,BU1B,May," 13,500.00 ",30-60 วัน,,,,,,,,,,,
1084,BU 1.1,1.1 Booth & Roadshow,QT23060068, Pumpui Booth Concert Trang,บริษัท ผลิตภัณฑ์อาหาร จำกัด (มหาชน)  ,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 32,142.50 ",23-06-23,23-06-23,2023,6,Q2,BU1A,Jun," 23,540.00 ",30-60 วัน,,,,,,,,,,,
1085,BU 1.2,1.2 Event,QT23060069,Fashion day (Production),บริษัท ชาช่า (ประเทศไทย)จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 213,920.00 ",10-07-23,13-07-23,2023,7,Q3,BU1B,Jul," 2,000,000.00 ",30-60 วัน,,,,,,,,,,,
1086,BU 1.2,1.2 Event,QT23060070,Eveandboy Lineup at Passione Rayong_Maintenance,บริษัท อีฟอีฟ จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 12,000.00 ",15-06-23,15-06-23,2023,6,Q2,BU1B,Aug," 2,000,000.00 ",30-60 วัน,,,,,,,,,,,
1087,BU 1.1,1.1 Booth & Roadshow,QT23060079.4,Vicks Warehouse Rental FY2324 on Oct 23, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 2,430.00 ",01-10-23,31-10-23,2023,10,Q4,BU1A,Jul," 111,282.00 ",60-150 วัน,,,,,,,,,,,
1088,BU 1.1,1.1 Booth & Roadshow,QT23060079.4,Vicks Warehouse Rental FY2324 on Oct 23, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 2,430.00 ",01-10-23,31-10-23,2023,10,Q4,BU1A,Oct," 2,430.00 ",60-150 วัน,,,,,,,,,,,
1089,BU 1.1,1.1 Booth & Roadshow,QT23060079.5,Vicks Warehouse Rental FY2324 on Nov 23, Trading (Thailand) Ltd.,IC. APPROVED & AWAITING  PROCESS PROJECTS," 2,430.00 ",01-11-23,30-11-23,2023,11,Q4,BU1A,Aug," 111,282.00 ",60-150 วัน,,,,,,,,,,,
1090,BU 1.1,1.1 Booth & Roadshow,QT23060079.5,Vicks Warehouse Rental FY2324 on Nov 23, Trading (Thailand) Ltd.,IC. APPROVED & AWAITING  PROCESS PROJECTS," 2,430.00 ",01-11-23,30-11-23,2023,11,Q4,BU1A,Nov," 2,430.00 ",60-150 วัน,,,,,,,,,,,
1091,BU 1.1,1.1 Booth & Roadshow,QT23060079.6,Vicks Warehouse Rental FY2324 on Dec 23, Trading (Thailand) Ltd.,IC. APPROVED & AWAITING  PROCESS PROJECTS," 2,430.00 ",01-12-23,31-12-23,2023,12,Q4,BU1A,Sep," 111,282.00 ",60-150 วัน,,,,,,,,,,,
1092,BU 1.1,1.1 Booth & Roadshow,QT23060079.6,Vicks Warehouse Rental FY2324 on Dec 23, Trading (Thailand) Ltd.,IC. APPROVED & AWAITING  PROCESS PROJECTS," 2,430.00 ",01-12-23,31-12-23,2023,12,Q4,BU1A,Dec," 2,430.00 ",60-150 วัน,,,,,,,,,,,
1093,BU 1.1,1.1 Booth & Roadshow,QT23060080,Cockpit Owner - Activity Support Cockpit 3 Store (Jul 2023),บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 43,092.00 ",30-06-23,02-07-23,2023,6,Q2,BU1B,Jul," 84,072.00 ",30-60 วัน,,,,,,,,,,,
1094,BU 1.1,1.1 Booth & Roadshow,QT23060081,Neurobion Producton Check Book, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 120,420.00 ",26-06-23,31-07-23,2023,6,Q2,BU1A,Jun," 8,910.00 ",60-150 วัน,,,,,,,,,,,
1095,BU 1.1,1.1 Booth & Roadshow,QT23060082,Tidlor activity booth 5 store (addtional),บริษัท เงินเงิน จำกัด (มหาชน),IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 2,240.00 ",18-06-23,19-06-23,2023,6,Q2,BU1A,Jul," 163,185.00 ",30-60 วัน,,,,,,,,,,,
1096,BU 1.3,1.3 Logistic,QT23060085,LRP Logistic Booth at Vajira hospital  (19-21 Jul 2023),บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 7,603.20 ",19-07-23,21-07-23,2023,7,Q3,BU1B,Jun," 2,300.00 ",30-60 วัน,,,,,,,,,,,
1097,BU 1.3,1.3 Logistic,QT23060087,LRP Logistic Setup  Booth at DST Mid year meeting,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 16,005.60 ",15-09-23,15-09-23,2023,9,Q3,BU1B,Jun," 32,142.50 ",30-60 วัน,,,,,,,,,,,
1098,BU 2.1,2.1 PG & BA,QT23060089,THAI WAH PC CHEER @ GT 4 STORES (24 JUN - 3 JUL 23),TW Public Company Limited,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 19,602.00 ",24-06-23,03-07-23,2023,6,Q2,BU2B,Jun," 12,000.00 ",30-60 วัน,,,,,,,,,,,
1099,BU 1.1,1.1 Booth & Roadshow,QT23060092,Cockpit FC Activity Support 11 Stores (Jul 2023),"BS (Thailand) Co., Ltd.",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 322,542.00 ",05-07-23,08-07-23,2023,7,Q3,BU1B,Jul," 239,030.00 ",30-60 วัน,,,,,,,,,,,
1100,BU 3.2,3.2 Key Account,QT23060093.2,BIBIGO MERCHANDISER EXCLUSIVE 16 Aug -15 Sep 23,บริษัท ดีมาก จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 339,350.00 ",16-08-23,15-09-23,2023,8,Q3,BU2A,Jun," 37,033.40 ",30-60 วัน,,,,,,,,,,,
1101,BU 3.2,3.2 Key Account,QT23060093.2,BIBIGO MERCHANDISER EXCLUSIVE 16 Aug -15 Sep 23,บริษัท ดีมาก จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 339,350.00 ",16-08-23,15-09-23,2023,8,Q3,BU2A,Jul," 37,033.40 ",30-60 วัน,,,,,,,,,,,
1102,BU 3.2,3.2 Key Account,QT23060093.2,BIBIGO MERCHANDISER EXCLUSIVE 16 Aug -15 Sep 23,บริษัท ดีมาก จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 339,350.00 ",16-08-23,15-09-23,2023,8,Q3,BU2A,Aug," 37,033.40 ",30-60 วัน,,,,,,,,,,,
1103,BU 3.2,3.2 Key Account,QT23060093.3,BIBIGO MERCHANDISER EXCLUSIVE 2023 16 Sep -15 Oct 23,บริษัท ดีมาก จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 339,350.00 ",16-09-23,15-10-23,2023,9,Q3,BU2A,Jun," 81,088.00 ",30-60 วัน,,,,,,,,,,,
1104,BU 3.2,3.2 Key Account,QT23060093.3,BIBIGO MERCHANDISER EXCLUSIVE 2023 16 Sep -15 Oct 23,บริษัท ดีมาก จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 339,350.00 ",16-09-23,15-10-23,2023,9,Q3,BU2A,Jul," 81,088.00 ",30-60 วัน,,,,,,,,,,,
1105,BU 3.2,3.2 Key Account,QT23060093.3,BIBIGO MERCHANDISER EXCLUSIVE 2023 16 Sep -15 Oct 23,บริษัท ดีมาก จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 339,350.00 ",16-09-23,15-10-23,2023,9,Q3,BU2A,Oct," 169,675.00 ",30-60 วัน,,,,,,,,,,,
1106,BU 1.1,1.1 Booth & Roadshow,QT23060094,Cockpit Owner - Activity Support Cockpit Phuket  (23-25 Jun 2023),บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 15,444.00 ",23-06-23,25-06-23,2023,6,Q2,BU1B,Jun," 27,830.00 ",30-60 วัน,,,,,,,,,,,
1107,BU 1.4,1.4 Digital,QT23060095,Coffee Dreamy Ads Facebook,บริษัท  ฟู้ด  จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 67,200.00 ",25-06-23,25-07-23,2023,6,Q2,BU1B,Jun," 1,237.50 ",30-60 วัน,,,,,,,,,,,
1108,BU 1.4,1.4 Digital,QT23060095,Coffee Dreamy Ads Facebook,บริษัท  ฟู้ด  จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 67,200.00 ",25-06-23,25-07-23,2023,6,Q2,BU1B,Jul," 1,237.50 ",30-60 วัน,,,,,,,,,,,
1109,BU 2.4,2.4 Merchandiser CVS share service,QT23060096.1,BIBIGO CVS SHARED SERVICE on July 2023 ,บริษัท ดีมาก จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 118,997.32 ",01-07-23,30-09-23,2023,7,Q3,BU2A,Jul," 2,430.00 ",30-60 วัน,,,,,,,,,,,
1110,BU 2.4,2.4 Merchandiser CVS share service,QT23060096.2,BIBIGO CVS SHARED SERVICE on Aug 2023 ,บริษัท ดีมาก จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 118,997.32 ",01-08-23,31-08-23,2023,8,Q3,BU2A,Jun," 21,546.00 ",30-60 วัน,,,,,,,,,,,
1111,BU 2.4,2.4 Merchandiser CVS share service,QT23060096.2,BIBIGO CVS SHARED SERVICE on Aug 2023 ,บริษัท ดีมาก จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 118,997.32 ",01-08-23,31-08-23,2023,8,Q3,BU2A,Jul," 21,546.00 ",30-60 วัน,,,,,,,,,,,
1112,BU 2.4,2.4 Merchandiser CVS share service,QT23060096.3,BIBIGO CVS SHARED SERVICE on Sep 2023 ,บริษัท ดีมาก จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 118,997.32 ",01-09-23,30-09-23,2023,9,Q3,BU2A,Jun," 17,202.85 ",30-60 วัน,,,,,,,,,,,
1113,BU 2.4,2.4 Merchandiser CVS share service,QT23060096.3,BIBIGO CVS SHARED SERVICE on Sep 2023 ,บริษัท ดีมาก จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 118,997.32 ",01-09-23,30-09-23,2023,9,Q3,BU2A,Jul," 103,217.15 ",30-60 วัน,,,,,,,,,,,
1114,BU 3.1,3.1 Key Account,QT23060097,Eucerin_ประชุมวิชาการ CPA [Jun 2023],"BD (Thailand) Co.,Ltd",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 23,230.42 ",26-06-23,26-06-23,2023,6,Q2,BU1B,Jun," 2,240.00 ",30-60 วัน,,,,,,,,,,,
1115,BU 1.1,1.1 Booth & Roadshow,QT23060098,VITADAY PROBIOTIC WATER SAMPLING ROADSHOW 2023,บริษัท เจน เบฟเวอร์เรจ จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 1,000,000.00 ",19-09-23,17-10-23,2023,9,Q3,BU1A,Jun," 8,580.00 ",30-60 วัน,,,,,,,,,,,
1116,BU 1.1,1.1 Booth & Roadshow,QT23060098,VITADAY PROBIOTIC WATER SAMPLING ROADSHOW 2023,บริษัท เจน เบฟเวอร์เรจ จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 1,000,000.00 ",19-09-23,17-10-23,2023,9,Q3,BU1A,Jul," 8,580.00 ",30-60 วัน,,,,,,,,,,,
1117,BU 1.1,1.1 Booth & Roadshow,QT23060098,VITADAY PROBIOTIC WATER SAMPLING ROADSHOW 2023,บริษัท เจน เบฟเวอร์เรจ จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 1,000,000.00 ",19-09-23,17-10-23,2023,9,Q3,BU1A,Oct," 500,000.00 ",30-60 วัน,,,,,,,,,,,
1118,BU 1.1,1.1 Booth & Roadshow,QT23060099.1,Foremost Caravan Phase 2 Production,FC (Thailand) PCL.,IB. APPROVED/IMPLEMENTING PROJECTS |  Processed  Projects," 195,800.00 ",01-09-23,24-12-23,2023,9,Q3,BU1A,Jun," 7,603.20 ",30-60 วัน,,,,,,,,,,,
1119,BU 1.1,1.1 Booth & Roadshow,QT23060099.1,Foremost Caravan Phase 2 Production,FC (Thailand) PCL.,IB. APPROVED/IMPLEMENTING PROJECTS |  Processed  Projects," 195,800.00 ",01-09-23,24-12-23,2023,9,Q3,BU1A,Oct," 48,950.00 ",30-60 วัน,,,,,,,,,,,
1120,BU 1.1,1.1 Booth & Roadshow,QT23060099.1,Foremost Caravan Phase 2 Production,FC (Thailand) PCL.,IB. APPROVED/IMPLEMENTING PROJECTS |  Processed  Projects," 195,800.00 ",01-09-23,24-12-23,2023,9,Q3,BU1A,Nov," 48,950.00 ",30-60 วัน,,,,,,,,,,,
1121,BU 1.1,1.1 Booth & Roadshow,QT23060099.1,Foremost Caravan Phase 2 Production,FC (Thailand) PCL.,IB. APPROVED/IMPLEMENTING PROJECTS |  Processed  Projects," 195,800.00 ",01-09-23,24-12-23,2023,9,Q3,BU1A,Dec," 48,950.00 ",30-60 วัน,,,,,,,,,,,
1122,BU 1.1,1.1 Booth & Roadshow,QT23060099.2,Foremost Caravan Phase 2 on Sep 23,FC (Thailand) PCL.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 472,285.00 ",01-09-23,30-09-23,2023,9,Q3,BU1A,Aug," 2,430.00 ",30-60 วัน,,,,,,,,,,,
1123,BU 1.1,1.1 Booth & Roadshow,QT23060099.3,Foremost Caravan Phase 2 on Oct 23,FC (Thailand) PCL.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 472,285.00 ",01-10-23,31-10-23,2023,10,Q4,BU1A,Sep," 2,430.00 ",30-60 วัน,,,,,,,,,,,
1124,BU 1.1,1.1 Booth & Roadshow,QT23060099.3,Foremost Caravan Phase 2 on Oct 23,FC (Thailand) PCL.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 472,285.00 ",01-10-23,31-10-23,2023,10,Q4,BU1A,Oct," 472,285.00 ",30-60 วัน,,,,,,,,,,,
1125,BU 1.1,1.1 Booth & Roadshow,QT23060099.4,Foremost Caravan Phase 2 on Nov 23,FC (Thailand) PCL.,IC. APPROVED & AWAITING  PROCESS PROJECTS," 481,910.00 ",01-11-23,30-11-23,2023,11,Q4,BU1A,Nov," 481,910.00 ",30-60 วัน,,,,,,,,,,,
1126,BU 1.1,1.1 Booth & Roadshow,QT23060099.5,Foremost Caravan Phase 2 on Dec 23,FC (Thailand) PCL.,IC. APPROVED & AWAITING  PROCESS PROJECTS," 301,235.00 ",01-12-23,31-12-23,2023,12,Q4,BU1A,Dec," 301,235.00 ",30-60 วัน,,,,,,,,,,,
1127,BU 2.3,2.3 Merchandiser&RO Share service,QT23060107.1,CHAO SUA MERCHANDISE SHARE AUG  23,บริษัท เจ้าคุณ อินดัสทรี จำกัด (มหาชน),IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 200,000.00 ",01-08-23,31-08-23,2023,8,Q3,BU2B,Jul," 7,603.20 ",30-60 วัน,,,,,,,,,,,
1128,BU 2.3,2.3 Merchandiser&RO Share service,QT23060107.2,CHAO SUA MERCHANDISE SHARE Sep 23,บริษัท เจ้าคุณ อินดัสทรี จำกัด (มหาชน),IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 200,000.00 ",16-09-23,15-10-23,2023,9,Q3,BU2B,Aug," 54,021.60 ",30-60 วัน,,,,,,,,,,,
1129,BU 2.3,2.3 Merchandiser&RO Share service,QT23060107.3,CHAO SUA MERCHANDISE SHARE Oct 23,บริษัท เจ้าคุณ อินดัสทรี จำกัด (มหาชน),IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 200,000.00 ",01-10-23,31-10-23,2023,10,Q4,BU2B,Sep," 16,005.60 ",30-60 วัน,,,,,,,,,,,
1130,BU 2.3,2.3 Merchandiser&RO Share service,QT23060107.3,CHAO SUA MERCHANDISE SHARE Oct 23,บริษัท เจ้าคุณ อินดัสทรี จำกัด (มหาชน),IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 200,000.00 ",01-10-23,31-10-23,2023,10,Q4,BU2B,Oct," 200,000.00 ",30-60 วัน,,,,,,,,,,,
1131,BU 2.1,2.1 PG & BA,QT23060109,Additional ค่าขนส่ง Booth กิจกรรม Sensodyne 1 - 30 July 2023,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 44,480.00 ",01-07-23,31-07-23,2023,7,Q3,BU2A,Jul," 9,801.00 ",60-150 วัน,,,,,,,,,,,
1132,BU 2.1,2.1 PG & BA,QT23060109,Additional ค่าขนส่ง Booth กิจกรรม Sensodyne 1 - 30 July 2023,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 44,480.00 ",01-07-23,31-07-23,2023,7,Q3,BU2A,Aug," 9,801.00 ",60-150 วัน,,,,,,,,,,,
1133,BU 2.1,2.1 PG & BA,QT23060110,PC Cheer จัดชิม Tyson @ Makro (5 - 9 July 2023),บริษัท ที (ไทยแลนด์) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 177,914.00 ",05-07-23,09-07-23,2023,7,Q3,BU2A,Jun," 28,543.80 ",30-60 วัน,,,,,,,,,,,
