ลำดับที่,BU,Job,QT, Project Name,Client/Owner,Status,Amount Rev,Start date,End date,Year,month-ended,Quarter,Business unit,monthyear, Value ,Cr.Term range,,,,,,,,,,,
43,BU 3.2,3.2 Key Account,QT22110089.6,Incentive KOE Tipco on Mar 23,"TC F&B CO., LTD",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 77,760.00 ",01-03-23,31-03-23,2023,3,Q1,BU2A,Apr," 16,811.67 ",30-60 วัน,,,,,,,,,,,
44,BU 3.2,3.2 Key Account,QT22110089.7,KOE Tipco 21 - 31 Mar 23,"TC F&B CO., LTD",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 155,304.00 ",21-03-23,31-03-23,2023,3,Q1,BU2A,May," 16,811.67 ",30-60 วัน,,,,,,,,,,,
45,BU 2.1,2.1 PG & BA,QT22110090.1,PG Cheer Girl TIPCO on Jan 2023,"TC F&B CO., LTD",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 216,634.50 ",01-01-23,31-01-23,2023,1,Q1,BU2A,Jun," 16,811.67 ",30-60 วัน,,,,,,,,,,,
46,BU 2.1,2.1 PG & BA,QT22110090.2,PG Cheer Girl TIPCO on Feb 2023,"TC F&B CO., LTD",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 216,634.50 ",01-02-23,28-02-23,2023,2,Q1,BU2A,Jul," 16,811.67 ",30-60 วัน,,,,,,,,,,,
47,BU 2.1,2.1 PG & BA,QT22110090.3,PG Cheer Girl TIPCO on Mar 2023,"TC F&B CO., LTD",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 216,634.50 ",01-03-23,31-03-23,2023,3,Q1,BU2A,Aug," 16,811.67 ",30-60 วัน,,,,,,,,,,,
48,BU 2.2,2.2 Merchandiser & RO,QT22110091.1,TIPCO Merchandiser Super Cheap (Phuket) on Jan 23,"TC F&B CO., LTD",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 22,680.00 ",01-01-23,31-01-23,2023,1,Q1,BU2A,Sep," 16,811.67 ",30-60 วัน,,,,,,,,,,,
49,BU 1.3,1.3 Logistic,QT22110106.10,Danone HN Logistics Warehouse on Oct 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 15,120.00 ",01-10-23,31-10-23,2023,10,Q4,BU1A,Oct," 15,120.00 ",30-60 วัน,,,,,,,,,,,
50,BU 1.3,1.3 Logistic,QT22110106.11,Danone HN Logistics Warehouse on Nov 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 15,120.00 ",01-11-23,30-11-23,2023,11,Q4,BU1A,Jan," 319,248.00 ",30-60 วัน,,,,,,,,,,,
51,BU 1.3,1.3 Logistic,QT22110106.11,Danone HN Logistics Warehouse on Nov 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 15,120.00 ",01-11-23,30-11-23,2023,11,Q4,BU1A,Nov," 15,120.00 ",30-60 วัน,,,,,,,,,,,
52,BU 1.3,1.3 Logistic,QT22110106.12,Danone HN Logistics Warehouse on Dec 23,บริษัท ดาดา (ประเทศไทย) จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 15,120.00 ",01-12-23,31-12-23,2023,12,Q4,BU1A,Jan," 77,760.00 ",30-60 วัน,,,,,,,,,,,
